,658,690,637,XLK,SHV,700,704,QQQ,IEI,LQD,GLD,127,143,603,702,712,170,OIL,701
,closingIndexPrice,closingIndexPrice,closingIndexPrice,Adj Close,Adj Close,closingIndexPrice,closingIndexPrice,Adj Close,Adj Close,Adj Close,Adj Close,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,Adj Close,closingIndexPrice
2021-08-17,396.55,445.55,240.26,151.6881866455078,105.7545394897461,517.55,729.77,361.13458251953125,127.32525634765625,126.16517639160156,166.97000122070312,911.09,1933.9,369.22,329.0,373.01,621.19,20.049999237060547,283.86
2021-08-18,396.48,445.55,240.24,149.59561157226562,105.74496459960938,517.54,729.84,357.6587829589844,127.26705932617188,126.08100891113281,167.10000610351562,914.24,1958.3,369.39,328.98,373.24,623.7,19.559999465942383,283.9
2021-08-19,397.14,445.88,240.34,151.0594482421875,105.74496459960938,517.94,730.92,359.3867492675781,127.3543472290039,126.37086486816406,166.61000061035156,902.07,1953.69,369.23,328.99,372.86,615.45,19.389999389648438,284.01
2021-08-20,,,,153.00466918945312,105.7545394897461,,,363.1094055175781,127.26705932617188,126.45506286621094,166.6999969482422,,,,,,,18.719999313354492,
2021-08-22,397.25,446.13,240.26,,,518.3,731.74,,,,,896.98,1958.73,369.42,329.0,373.25,611.27,,283.92
2021-08-23,397.32,445.81,240.11,154.97935485839844,105.74496459960938,517.88,730.7,368.5403137207031,127.32525634765625,126.54855346679688,168.72999572753906,916.71,1979.45,369.43,329.01,373.47,621.74,19.799999237060547,283.91
2021-08-24,397.52,445.65,240.13,154.80252075195312,105.74496459960938,517.67,730.15,369.6659851074219,127.17981719970703,126.25865936279297,168.64999389648438,939.15,2012.82,369.66,329.0,373.55,635.24,20.540000915527344,283.91
2021-08-25,398.25,445.31,240.39,154.714111328125,105.7545394897461,517.23,729.02,370.0905456542969,127.0052719116211,125.9313735961914,167.47999572753906,934.05,2022.14,369.68,329.0,373.42,632.3,20.67009925842285,283.87
2021-08-26,398.9,445.79,240.41,153.74151611328125,105.74496459960938,517.86,730.79,367.74053955078125,126.9762191772461,125.89401245117188,167.6699981689453,927.49,2012.4,369.56,328.94,373.44,627.49,20.549999237060547,283.91
2021-08-27,,,,155.2249755859375,105.74496459960938,,,371.31500244140625,127.2282485961914,126.59536743164062,170.19000244140625,,,,,,,20.790000915527344,
2021-08-29,400.0,446.52,240.6,,,518.82,733.41,,,,,937.46,2035.61,370.11,328.98,374.05,635.63,,283.91
2021-08-30,400.58,446.85,240.7,156.8950958251953,105.74496459960938,519.26,734.62,375.48193359375,127.42223358154297,126.81041717529297,169.35000610351562,930.88,2030.32,370.45,328.99,374.51,632.56,20.94059944152832,283.94
2021-08-31,401.91,446.76,241.1,156.06988525390625,105.74496459960938,519.12,734.36,375.1758117675781,127.33496856689453,126.52051544189453,169.69000244140625,924.26,2019.77,371.06,328.97,375.52,625.6,20.8075008392334,283.98
2021-09-01,402.13,446.08,241.12,156.10914611816406,105.74496459960938,518.22,731.84,375.79791259765625,127.36307525634766,126.68351745605469,169.6999969482422,928.07,2023.67,370.93,329.0,375.49,628.39,20.670000076293945,283.96
